Game
Oct 9 (Calgary)
Oct 11 (Philadelphia)
Oct 26 (Pittsburgh)
Oct 28 (Carolina)
Oct 30 (New Jersey)
Nov 9 (Edmonton)
Nov 12 (Calgary)
Nov 14 (N.Y. Islanders)
Nov 16 (Chicago)
Nov 17 (Nashville)
Nov 19 (N.Y. Rangers)
Dec 6 (Columbus)
Dec 8 (Tampa Bay)
Dec 10 (St. Louis)
Dec 12 (Florida)
Dec 14 (Boston)
Dec 16 (Colorado)
Dec 21 (Ottawa)
Dec 23 (San Jose)
Dec 28 (Seattle)
Jan 3 (Nashville)
Jan 16 (Los Angeles)
Jan 18 (Edmonton)
Jan 21 (Buffalo)
Jan 25 (Washington)
Feb 2 (Detroit)
Feb 4 (Colorado)
Feb 8 (Toronto)
Mar 5 (Anaheim)
Mar 7 (Minnesota)
Mar 9 (Dallas)
Mar 11 (Montreal)
Mar 15 (Chicago)
Mar 16 (Utah)
Mar 18 (Winnipeg)
Apr 2 (Seattle)
Apr 5 (Anaheim)
Apr 6 (Vegas)
Apr 12 (Minnesota)
Apr 14 (San Jose)
Apr 16 (Vegas)
